					I need average count of purchases	1.354166667			Purchase count	Average count per gender	player count = 576
Row Labels	Count of Price	Sum of Price2				5		Male	652		
Adairialis76	1	2.28						Female	113		
Adastirin33	1	4.48						Other	15		
Aeda94	1	4.91									
Aela59	1	4.32									
Aelaria33	1	1.79									
Aelastirin39	2	7.29									
Aelidru27	1	1.09									
Aelin32	3	8.98									
Aelly27	2	6.79									
Aellynun67	1	3.74									
Aellyria80	1	3.08									
Aelollo59	2	5.63									
Aenarap34	1	2.96									
Aeral43	1	4.4									
Aeral68	1	4									
Aeral97	1	4.8									
Aeralria27	1	4.09									
Aeralstical35	1	2.96									
Aeri84	1	1.61									
Aerillorin70	1	3.33									
Aerithllora36	2	8.64									
Aerithnucal56	1	4.4									
Aerithnuphos61	1	4.91									
Aerithriaphos45	1	1.56									
Aerithriaphos46	1	2.18									
Aesri53	1	1.76									
Aesty53	2	3.91									
Aestysu37	2	5.38									
Aesur96	1	2.21									
Aesurstilis64	1	1.03									
Aethedru70	1	3.54									
Aidai53	1	4.6									
Aidai61	1	1.01									
Aidai73	1	3.08									
Aidaillodeu39	2	7.86									
Aidain51	1	3.45									
Aidaira26	1	4.23									
Aiduecal76	2	7.58									
Aiduesu86	1	4.48									
Aillyriadru65	1	1.1									
Aillyrin83	1	2.89									
Aina42	3	9.22									
Aina43	1	3.09									
Airi27	1	3.45									
Aisur51	1	1.14									
Aisurdru79	2	3.51									
Aisurria69	1	1.79									
Aithelis62	2	6.78									
Alaephos75	1	4.84									
Alaesu77	1	2.49									
Alaesu91	1	3.45									
Alarap40	1	3.27									
Ali84	2	4.31									
Alim85	1	2.5									
Alo38	1	1									
Anallorgue57	2	5.7									
Ardcil81	2	5.58									
Ardonmol96	1	1.55									
Arin32	2	9.09									
Arirgue63	1	1.7									
Assassa81	1	3.39									
Assassasta79	2	6.63									
Assastnya25	1	4.48									
Assehoan67	1	1.75									
Assesi91	1	1.54									
Assilsan72	1	4.9									
Assim27	1	1.7									
Assirra56	1	3.19									
Assistasda42	2	5.92									
Assistasda90	1	4.35									
Assjaskan56	1	2.96									
Assjaskan73	1	1.7									
Assosia88	1	1.33									
Assylla81	1	4.18									
Asty82	1	3.09									
Asur53	3	7.44									
Asur96	1	4.74									
Baelollodeu94	2	9.03									
Bartassaya73	2	6.12									
Caesrinusuir82	2	5.18									
Ceoral34	1	4.58									
Chadadarla74	2	6.03									
Chadilsasta32	2	4.29									
Chadirra90	1	2.05									
Chadista79	2	8.35									
Chadistaya75	1	3.94									
Chadjask77	1	4.93									
Chadjask85	1	3.87									
Chadolyla44	3	11.46									
Chadossa56	1	1.98									
Chadossa89	1	3.19									
Chamadar79	1	3.14									
Chamadarnya73	1	3.07									
Chamadarsda63	1	3.92									
Chamalo71	1	4.64									
Chamassasya86	1	3.27									
Chamast86	1	2.05									
Chamastya76	1	2.05									
Chamilsala65	2	8.55									
Chamiman85	1	4.4									
Chamimla73	1	4.8									
Chamimla85	3	6.3									
Chamirra53	2	5.36									
Chamirrasya33	2	3.05									
Chamirraya83	1	2.22									
Chamistast30	1	3.58									
Chamjask73	3	13.83									
Chamjaskya75	1	2.84									
Chamossa77	1	1.77									
Chanadar44	1	3.19									
Chanastnya43	3	8.82									
Chanastsda67	1	3.7									
Chanastst38	2	6.58									
Chanastya70	1	3.58									
Chanilsasda38	1	2.52									
Chanilsast61	1	2.08									
Chanirra64	1	1.54									
Chanirra79	1	1.01									
Chanirrala39	2	6.15									
Chanirrasta87	1	4.94									
Chanista95	1	3.16									
Chanjask65	1	4.32									
Chanjaskan89	2	5.17									
Chanosia34	1	2.96									
Chanosia60	2	5.42									
Chanosian48	2	7.52									
Chanosiaya39	1	1.97									
Chanossanya44	2	6.28									
Chanossast57	1	4.32									
Chanuchi25	1	3.97									
Cosadar58	1	4.35									
Dyally87	1	4.99									
Ealiril69	1	4.4									
Ealrion88	1	4.48									
Ennalmol65	1	4.88									
Ennoncil86	1	1.74									
Ennrian78	2	6.08									
Eodailis27	2	5.76									
Eodairu79	1	3.4									
Eodaisu60	1	3.94									
Eolan54	1	1.54									
Eoral49	1	4.35									
Eoralrap26	1	1.7									
Eosrirgue62	1	3.08									
Eosurdru76	1	1.79									
Eratiel90	1	4.6									
Ermol76	1	2.5									
Errian63	1	3.49									
Eryon48	1	1.1									
Ethralista69	1	2.22									
